ObjectId,ConstituentId,ObjectNumber,Title,Dated,CreditLine,Dimensions,CreditLineRepro,Medium,Classification,SubClassification,description_web,ImageUrl,ImageUrl2,DataProvider
110,28,1983.63.17,"Appalshop, Inc. Photo Survey Project",,Transfer from the National Endowment for the Arts,,,gelatin silver print,Photography,Photoprint,,http://americanart.si.edu/images/1983/1983.63.17_1a.jpg,http://americanart.si.edu/images/1983/1983.63.17_1a.jpg,Smithsonian American Art Museum
111,28,1983.63.18,"Appalshop, Inc. Photo Survey Project",,Transfer from the National Endowment for the Arts,,,gelatin silver print,Photography,Photoprint,,http://americanart.si.edu/images/1983/1983.63.18_1a.jpg,http://americanart.si.edu/images/1983/1983.63.18_1a.jpg,Smithsonian American Art Museum
113,29,1935.13.3,Admiral's House in Amsterdam,n.d.,Gift of Chicago Society of Etchers,plate: 10 1/4 x 7 1/4 in. (25.9 x 18.6 cm),,etching,Graphic Arts,Print,,http://americanart.si.edu/images/1935/1935.13.3_1a.jpg,http://americanart.si.edu/images/1935/1935.13.3_1a.jpg,Smithsonian American Art Museum
114,30,1971.447.2,Still Life with Herring,ca. 1935-1940,Transfer from The Museum of Modern Art,24 1/8 x 30 in. (61.2 x 76.2 cm.),,oil on canvas,Painting,,,http://americanart.si.edu/images/1971/1971.447.2_1a.jpg,http://americanart.si.edu/images/1971/1971.447.2_1a.jpg,Smithsonian American Art Museum
116,32,1969.47.1,Of a Man in Florence,1959,"Gift of S.C. Johnson & Son, Inc.",60 x 50 in. (152.4 x 127.0 cm.),,oil on canvas,Painting,,,http://americanart.si.edu/images/1969/1969.47.1_1a.jpg,http://americanart.si.edu/images/1969/1969.47.1_1a.jpg,Smithsonian American Art Museum
117,33,1929.7.14,Lewis XVI,n.d.,Gift of John Gellatly,sight 5 1/4 x 3 3/8 in. (13.5 x 8.6 cm),,stipple engraving,Graphic Arts,Print,,http://americanart.si.edu/images/1929/1929.7.14_1a.jpg,http://americanart.si.edu/images/1929/1929.7.14_1a.jpg,Smithsonian American Art Museum
119,33,1929.7.41,The Princess Elizabeth of France,n.d.,Gift of John Gellatly,sight 3 1/4 x 2 3/4 in. (8.3 x 7.0 cm),,stipple engraving,Graphic Arts,Print,,http://americanart.si.edu/images/1929/1929.7.41_1a.jpg,http://americanart.si.edu/images/1929/1929.7.41_1a.jpg,Smithsonian American Art Museum
120,34,1945.6.1,John Church Hamilton,ca. 1840,Museum purchase through the Catherine Walden Myer Fund,sight 3 x 2 1/8 in. (7.5 x 5.5 cm) rectangle,,watercolor on ivory,Painting,Miniature,"<p>John Church Hamilton (1792-1882) was the fourth son of Major General Alexander Hamilton and Elizabeth Schuyler Hamilton. When he was twelve, his father was killed in the now legendary duel with presidential candidate Aaron Burr. John Hamilton graduated from Columbia College in 1809 and served in the United States Army. He was an avid historian, and published many books about his fatherâ€™s life, including <i>Life of Alexander Hamilton</i> and a seven-volume history of the Republic.</p>",http://americanart.si.edu/images/1945/1945.6.1_1a.jpg,http://americanart.si.edu/images/1945/1945.6.1_1a.jpg,Smithsonian American Art Museum
120,34,1945.6.1,John Church Hamilton,ca. 1840,Museum purchase through the Catherine Walden Myer Fund,sight 3 x 2 1/8 in. (7.5 x 5.5 cm) rectangle,,watercolor on ivory,Painting,Miniature,"<p>John Church Hamilton (1792-1882) was the fourth son of Major General Alexander Hamilton and Elizabeth Schuyler Hamilton. When he was twelve, his father was killed in the now legendary duel with presidential candidate Aaron Burr. John Hamilton graduated from Columbia College in 1809 and served in the United States Army. He was an avid historian, and published many books about his fatherâ€™s life, including <i>Life of Alexander Hamilton</i> and a seven-volume history of the Republic.</p>",http://americanart.si.edu/images/1945/1945.6.1_1a.jpg,http://americanart.si.edu/images/1945/1945.6.1_1a.jpg,Smithsonian American Art Museum
122,34,1950.4.38,Member of the Schuyler Family,ca. 1835,Gift of Mrs. Henry L. Milmore,sight 2 3/4 x 2 1/4 in. (7.0 x 5.7 cm) oval,,watercolor on ivory,Painting,Miniature,"<p>This portrait depicts a young man in the Schuyler family, possibly a nephew of Elizabeth Schuyler (1757-1854). Elizabeth was the daughter of Philip John Schuyler, a general in the Revolutionary War. She married the statesman Alexander Hamilton in 1780, and the artist also painted a portrait of their son John Church Hamilton. Conservation of this miniature was made possible through a generous grant provided by the Smithsonian Womenâ€™s Committee.</p>",http://americanart.si.edu/images/1950/1950.4.38_1a.jpg,http://americanart.si.edu/images/1950/1950.4.38_1a.jpg,Smithsonian American Art Museum
123,35,1974.118.2,(Untitled),,Gift of Dr. Christopher A. Graf and Janet Graf,,,,Graphic Arts,Print,,http://americanart.si.edu/images/1974/1974.118.2_1a.jpg,http://americanart.si.edu/images/1974/1974.118.2_1a.jpg,Smithsonian American Art Museum
